,methods,mode,evaluation,balanced_acc.mean,balanced_acc.sem,FDR.mean,FDR.sem,MCC.mean,MCC.sem,F1.mean,F1.sem,AUROC.mean,AUROC.sem,AUPRC.mean,AUPRC.sem,approach
0,DeepWalk CBOW,test,DANS,0.5938625204582652,0.007912679921055947,0.4014980331791252,0.00422234412044559,0.20013114329828174,0.01629793626541717,0.567943763392422,0.025710451315376495,0.6117604219960838,0.007148721053569196,0.5789856080799968,0.004397373843394593,DANS (test)
1,DeepWalk CBOW,test,UNS,0.7396481178396072,0.03082467214682308,0.17619459598415296,0.029030230631837625,0.499107973624379,0.05958356068500975,0.6721324142506665,0.04423943334869481,0.7909100010446773,0.037972958187243964,0.7993024312821346,0.033149222623837446,UNS (test)
2,DeepWalk CBOW,train,DANS,0.7036532170119957,0.0025093794929788977,0.31694873421981534,0.009867046789829264,0.4375310250572647,0.00996753174450954,0.7221681620720621,0.010358174854642514,0.7857011522923953,0.007852400970576282,0.7514045042589703,0.007399416890322002,DANS (train)
3,DeepWalk CBOW,train,UNS,0.8490594329334786,0.023641088918354813,0.11864325155348823,0.01702125882137692,0.7039678473662225,0.04597741893534602,0.8344407156556688,0.027202639090585647,0.8952274393528754,0.021090747521147438,0.8917486025310593,0.016946843435491764,UNS (train)
4,DeepWalk SkipGram,test,DANS,0.630810147299509,0.0094145043221463,0.3688247148075562,0.004188025721852708,0.2837636767912438,0.02083586688944709,0.6148767458838715,0.02625973364408554,0.6522071822908435,0.017393637215716365,0.6264656765130562,0.008111060485523633,DANS (test)
5,DeepWalk SkipGram,test,UNS,0.751227495908347,0.040071513742378724,0.21438899344341672,0.042561287959114555,0.50687294465896,0.08005897498998675,0.7202017856828057,0.0465657203646881,0.7577943646352603,0.04897308996999879,0.7860958440931125,0.04189202162455323,UNS (test)
6,DeepWalk SkipGram,train,DANS,0.7196564885496184,0.0028444034016942136,0.30891095798490487,0.010880446991099708,0.47836710936142735,0.010313544611728214,0.7424998101236198,0.009465719340483132,0.7806807847111806,0.009697526581683403,0.7252600388712136,0.007121854531439591,DANS (train)
7,DeepWalk SkipGram,train,UNS,0.8437431842966194,0.03080646674907196,0.15832872776071855,0.03055816117548378,0.6882428421301517,0.06148221258136337,0.8439790166357521,0.03087516971999894,0.8720018858018121,0.02920736802697311,0.8657415242528328,0.0279938470846371,UNS (train)
8,First-order LINE,test,DANS,0.6081423895253683,0.004720880730961763,0.3810402989906453,0.011626511529723481,0.22417323013768553,0.00962033083637901,0.6074393621627386,0.007887772417300518,0.6535322149035281,0.005675248445623415,0.6543387596097303,0.00823359451532365,DANS (test)
9,First-order LINE,test,UNS,0.6860474631751228,0.023559745315037114,0.287038708994137,0.02628129564452382,0.37516444342057165,0.047359107954337884,0.6623912578652782,0.025915284641078427,0.72377729219626,0.024614543874032706,0.753868795911001,0.027361010225188397,UNS (test)
10,First-order LINE,train,DANS,0.6567748091603054,0.009302562710871395,0.34595122204842976,0.015364817702872945,0.3218367084616073,0.017248540910000526,0.6756813009946782,0.0013355632806096986,0.7152551161627754,0.011132450043501406,0.6932409286868306,0.014790667181106224,DANS (train)
11,First-order LINE,train,UNS,0.7326608505997819,0.01908243612701814,0.25575559547594584,0.021371719364561937,0.46599939014999875,0.038311120911753024,0.7286693494310162,0.018615039244536166,0.801089750698368,0.01990214026068461,0.811043943944133,0.021362942103439506,UNS (train)
12,HOPE,test,DANS,0.5685761047463175,0.013645279441633199,0.4381300764030732,0.012982327190767027,0.137944789361922,0.027393143869186315,0.5918464107126298,0.014136787068227638,0.6092940458747298,0.01415420748879081,0.6203414380024214,0.008276378688368795,DANS (test)
13,HOPE,test,UNS,0.5795826513911619,0.05609974840696254,0.3223338964898768,0.06647830110269097,0.15051938198434747,0.12154988120708173,0.628770974292673,0.0380535305082637,0.6912750354252775,0.049162899724266095,0.7914658389507372,0.032425213918822735,UNS (test)
14,HOPE,train,DANS,0.6559296619411124,0.019900109082879366,0.3822168129285532,0.014763320905539244,0.33079755154076695,0.04220044193345419,0.7013120885953417,0.018486804185630343,0.7159818024436043,0.014337221011641728,0.6837201088113345,0.007385710497054036,DANS (train)
15,HOPE,train,UNS,0.6732279171210469,0.061826230150273664,0.2930622593616046,0.061281645869964256,0.3217248119532629,0.12980957609209273,0.7426754847948558,0.0456399518954845,0.824664020013343,0.03931836464396705,0.8779071528977814,0.025369007433294916,UNS (train)
16,Second-order LINE,test,DANS,0.6236497545008184,0.0023167954252278733,0.38120943289420794,0.010266139941468404,0.2919885030230585,0.010059661106054035,0.6439657212595462,0.017022947057074894,0.7011643465007327,0.007024885189075887,0.6881503424872204,0.003339614604652127,DANS (test)
17,Second-order LINE,test,UNS,0.7638297872340425,0.04282875090245555,0.23063453732742767,0.04086406828958876,0.5286867795119206,0.08545250283228069,0.7460999472152405,0.04694890903077364,0.8041900937798838,0.04168137266007329,0.8065421320927945,0.04088288320618132,UNS (test)
18,Second-order LINE,train,DANS,0.6663576881134132,0.007152024665328617,0.35218391231777696,0.01528889051401128,0.37956531357080653,0.0044243674868845945,0.7055882122870906,0.004959753102911406,0.758493228594975,0.0023542742917669404,0.734997048292668,0.0063353410566045956,DANS (train)
19,Second-order LINE,train,UNS,0.8068565976008724,0.03415340148092799,0.19892230776450082,0.03291328167713292,0.6138818340716845,0.06833902531046307,0.8073296051747771,0.03417350935759545,0.8565261586249789,0.030273439449899638,0.853681009324933,0.030724193062789767,UNS (train)
20,Walklets CBOW,test,DANS,0.6380523731587562,0.006612826600592292,0.30853696196477776,0.008422807224043247,0.2928535472813715,0.010247295131169952,0.5759651065280523,0.021392668815982126,0.6855933968354312,0.005941252829947693,0.6493861931447018,0.01058698217821699,DANS (test)
21,Walklets CBOW,test,UNS,0.756873977086743,0.02261800938483059,0.05718704280336884,0.012729068515087543,0.5671468197904364,0.039833617626605984,0.6723067993802823,0.03741854018237019,0.9162418535255183,0.015446027092665321,0.9081801534386585,0.01722128951796505,UNS (test)
22,Walklets CBOW,train,DANS,0.8424482006543075,0.005040222169752781,0.20021796876253153,0.013860184831314466,0.707533890406618,0.006682776636661502,0.8554244510124434,0.0035269672728997416,0.9622685262264105,0.008048417001368522,0.9453790803139583,0.011103669613079015,DANS (train)
23,Walklets CBOW,train,UNS,0.9525081788440566,0.011047409463924534,0.025753938732284293,0.005186863213159507,0.907674439653791,0.02127117959774427,0.9496604722543509,0.011931415296740296,0.9875209339460975,0.0028206619786857582,0.9791580589619567,0.004549724853233298,UNS (train)
24,Walklets SkipGram,test,DANS,0.6141980360065467,0.010472423338077727,0.3029302792323353,0.013347640960253185,0.25964135374012554,0.014851354164488854,0.5007197798707016,0.04007677085563912,0.6140649735750199,0.016047282776461422,0.6126589607905355,0.007097376826870111,DANS (test)
25,Walklets SkipGram,test,UNS,0.7173895253682487,0.032303759200545366,0.08386729443298516,0.019314037124690802,0.4930215733021862,0.05806840596740315,0.5720574277596615,0.06094834720994861,0.6633042676409845,0.06816124506973872,0.7508240327485844,0.04971871792523678,UNS (test)
26,Walklets SkipGram,train,DANS,0.8509814612868049,0.012686291095747391,0.1790370304500867,0.024365868290145355,0.7300107929031766,0.01972659030889586,0.8654162984820465,0.009433171058471693,0.9610349805384539,0.007895872736529131,0.9384923200332024,0.01150213318557288,DANS (train)
27,Walklets SkipGram,train,UNS,0.9489231188658669,0.012610484506326873,0.020132631916121364,0.003903066377281873,0.9026109932473331,0.02360582540567692,0.9443279535226721,0.014164830786237802,0.9606961464295525,0.01073772597405721,0.9635981730723987,0.00891233624834806,UNS (train)
